Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,BMI,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level_enc,Cluster,Workout_Type,Experience_Level
163,149,71,1.01,22.1,20.4,3.5,3,1,0,HIIT,1
170,126,73,0.25,19.9,18.0,3.4,3,0,0,Yoga,0
190,171,60,0.33,20.4,26.5,2.7,3,1,0,HIIT,1
189,135,69,0.78,30.3,28.5,4.4,3,0,0,Yoga,0
176,138,66,0.55,23.7,32.5,2.2,2,0,0,Cardio,0
163,124,77,0.75,28.7,18.1,3.7,5,1,0,Yoga,1
183,136,78,0.41,25.5,27.1,3.3,2,0,0,Yoga,0
176,137,63,0.52,18.3,27.3,2.7,3,1,0,Cardio,1
191,164,83,0.78,26.5,21.7,4.2,2,0,0,Mixed,0
199,166,66,0.67,21.3,20.3,3.7,4,1,0,Mixed,1
179,126,62,1.07,14.5,19.7,3.8,7,3,1,Yoga,3
161,140,77,0.44,28.7,21.9,3.5,3,0,0,Mixed,0
163,135,70,0.43,27.6,24.8,2.8,4,1,0,Strength,1
168,142,63,1.0,20.9,29.4,4.6,6,2,1,Mixed,2
205,186,75,0.65,37.7,28.4,3.0,3,0,0,HIIT,0
175,143,69,0.97,27.0,18.0,3.6,4,1,0,Strength,1
202,171,76,0.48,25.5,20.8,4.4,2,0,0,Mixed,0
180,149,76,0.25,28.3,29.2,2.8,2,0,0,Strength,0
169,136,57,1.39,9.0,21.1,3.9,7,3,1,Strength,3
171,149,81,0.56,24.7,23.8,4.3,3,0,0,Mixed,0
205,184,66,0.44,16.1,18.0,2.5,5,1,0,HIIT,1
178,163,77,0.84,29.1,28.6,3.8,3,0,0,HIIT,0
174,143,73,0.25,29.8,18.0,2.5,3,0,0,Strength,0
186,157,71,0.58,21.2,18.0,3.9,3,0,0,Mixed,0
188,171,74,0.27,17.1,28.2,2.6,3,0,0,HIIT,0
184,155,67,0.8,25.8,31.7,3.9,5,1,0,Mixed,1
181,153,68,0.87,14.4,22.8,4.4,4,2,1,Mixed,2
153,115,70,0.69,24.2,23.8,4.0,5,1,0,Yoga,1
172,129,77,0.6,31.4,27.6,3.5,5,1,0,Yoga,1
184,129,60,1.0,22.6,25.2,4.4,7,2,1,Yoga,2
185,153,55,1.69,11.1,22.5,5.0,6,3,1,Mixed,3
205,158,72,0.89,20.6,22.1,3.5,3,1,0,Cardio,1
157,135,69,1.25,14.7,18.0,4.3,7,3,1,Mixed,3
198,179,72,0.87,20.9,24.9,2.9,5,1,0,HIIT,1
186,167,60,1.22,18.7,23.6,3.8,6,2,1,HIIT,2
190,172,65,0.91,24.6,22.2,3.3,3,1,0,HIIT,1
167,133,70,1.29,12.6,20.0,3.2,7,3,1,Cardio,3
187,151,68,0.37,18.6,20.4,2.7,4,1,0,Strength,1
198,163,60,1.01,19.7,26.5,4.2,5,2,1,Mixed,2
183,135,76,0.63,22.1,27.5,3.6,5,1,0,Yoga,1
186,167,59,1.35,9.0,22.7,3.8,5,3,1,HIIT,3
199,178,55,1.16,18.3,22.3,3.7,7,3,1,HIIT,3
178,150,85,0.81,26.3,20.6,3.3,3,0,0,Strength,0
199,161,73,0.57,26.6,27.7,3.4,5,1,0,Strength,1
182,148,67,0.83,28.7,24.1,3.7,3,0,0,Strength,0
168,147,82,0.8,20.3,25.5,4.2,3,0,0,Mixed,0
194,173,55,1.35,19.2,25.4,3.6,7,3,1,HIIT,3
189,146,64,0.87,17.9,22.8,3.2,4,1,1,Cardio,1
169,133,66,1.01,24.3,19.3,3.1,3,1,0,Cardio,1
194,158,75,1.06,25.0,20.0,3.8,7,2,1,Strength,2
188,150,80,0.95,23.8,28.5,3.1,4,1,0,Cardio,1
163,141,72,0.67,24.0,21.1,4.5,2,0,0,Mixed,0
162,134,84,0.54,25.8,22.4,2.3,2,0,0,Cardio,0
200,158,59,1.14,13.9,19.5,3.9,3,1,1,Strength,1
203,160,80,0.69,20.7,19.1,2.8,2,0,0,Cardio,0
205,187,82,0.55,25.0,20.9,3.1,2,0,0,HIIT,0
164,144,83,0.83,25.8,30.8,4.4,3,0,0,Mixed,0
200,165,60,1.52,16.3,26.6,4.0,7,3,1,Mixed,3
175,150,78,0.25,22.8,21.9,3.6,3,0,0,Mixed,0
183,165,61,1.06,16.7,28.3,4.0,5,2,1,HIIT,2
177,161,70,0.7,26.8,23.4,2.8,4,1,0,HIIT,1
173,158,74,1.08,25.4,29.4,3.4,2,0,0,HIIT,0
189,135,69,1.14,19.5,32.8,4.3,5,1,1,Yoga,1
169,146,76,0.56,15.6,28.1,3.4,5,1,0,Mixed,1
188,152,66,1.04,15.0,24.4,3.6,5,2,1,Strength,2
181,141,68,1.05,15.8,26.8,3.4,5,3,1,Cardio,3
189,139,76,0.25,21.7,24.1,3.1,3,0,0,Yoga,0
197,154,76,0.71,21.8,18.0,3.6,4,2,0,Cardio,2
185,148,81,0.6,28.8,21.4,2.2,3,0,0,Cardio,0
187,170,75,0.44,22.1,20.2,2.6,2,0,0,HIIT,0
166,125,76,0.66,27.3,21.3,4.2,3,0,0,Yoga,0
189,150,61,0.93,18.1,31.2,4.1,4,2,1,Strength,2
186,147,76,0.64,22.3,28.5,2.9,3,0,0,Cardio,0
185,143,65,0.92,22.7,25.8,2.4,3,1,0,Cardio,1
172,127,72,1.0,22.7,27.2,4.3,5,2,1,Yoga,2
